                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8991,                0.38056,                0.72421,                 3.1835,              0.0033303,              0.0033303,              0.0033303
                      2,                   2.27,                 0.4623,                 0.8006,                 3.0701,              0.0065694,              0.0065694,              0.0065694
                      3,                 2.1437,                0.46845,                0.80397,                 3.0542,              0.0097142,              0.0097142,              0.0097142
                      4,                 2.1342,                0.49325,                 0.8246,                 3.0497,              0.0095757,              0.0095757,              0.0095757
                      5,                 2.0339,                0.52659,                0.84722,                 3.0054,              0.0094343,              0.0094343,              0.0094343
                      6,                 1.9545,                0.51984,                0.85119,                 3.0209,              0.0092929,              0.0092929,              0.0092929
                      7,                 1.8656,                0.56151,                0.86091,                 2.9763,              0.0091514,              0.0091514,              0.0091514
                      8,                 1.8046,                0.56825,                0.86131,                 2.9762,                0.00901,                0.00901,                0.00901
                      9,                 1.7804,                0.57321,                0.87421,                 2.9659,              0.0088686,              0.0088686,              0.0088686
                     10,                 1.7019,                0.59008,                0.88194,                 2.9491,              0.0087271,              0.0087271,              0.0087271
                     11,                 1.6542,                0.59702,                0.88829,                 2.9484,              0.0085857,              0.0085857,              0.0085857
                     12,                 1.5984,                0.60317,                0.88512,                 2.9409,              0.0084443,              0.0084443,              0.0084443
                     13,                 1.5789,                0.60893,                0.89524,                 2.9362,              0.0083029,              0.0083029,              0.0083029
                     14,                 1.5621,                0.62976,                0.89623,                 2.9122,              0.0081614,              0.0081614,              0.0081614
                     15,                  1.516,                 0.6379,                 0.9004,                 2.9018,                0.00802,                0.00802,                0.00802
                     16,                 1.4943,                0.63115,                0.89623,                 2.9044,              0.0078786,              0.0078786,              0.0078786
                     17,                 1.4487,                0.64563,                0.90337,                 2.8941,              0.0077371,              0.0077371,              0.0077371
                     18,                 1.4334,                0.64841,                0.91012,                 2.8912,              0.0075957,              0.0075957,              0.0075957
                     19,                 1.4258,                0.64742,                0.91151,                 2.8859,              0.0074543,              0.0074543,              0.0074543
                     20,                 1.3808,                0.66151,                0.91567,                 2.8724,              0.0073129,              0.0073129,              0.0073129
                     21,                 1.3552,                0.66726,                0.90972,                 2.8706,              0.0071714,              0.0071714,              0.0071714
                     22,                 1.3472,                0.67381,                0.91627,                 2.8661,                0.00703,                0.00703,                0.00703
                     23,                 1.3185,                0.66766,                0.91806,                 2.8678,              0.0068886,              0.0068886,              0.0068886
                     24,                 1.3006,                0.66845,                0.92242,                 2.8638,              0.0067471,              0.0067471,              0.0067471
                     25,                 1.2712,                0.67698,                0.91845,                 2.8521,              0.0066057,              0.0066057,              0.0066057
                     26,                  1.261,                0.68333,                0.92083,                 2.8514,              0.0064643,              0.0064643,              0.0064643
                     27,                 1.2333,                 0.6871,                 0.9246,                  2.847,              0.0063229,              0.0063229,              0.0063229
                     28,                 1.2151,                0.68234,                0.92302,                 2.8432,              0.0061814,              0.0061814,              0.0061814
                     29,                 1.1992,                0.69325,                0.91865,                 2.8328,                0.00604,                0.00604,                0.00604
                     30,                 1.1696,                0.69246,                0.91984,                 2.8281,              0.0058986,              0.0058986,              0.0058986
                     31,                 1.1525,                0.69048,                0.92262,                 2.8272,              0.0057571,              0.0057571,              0.0057571
                     32,                 1.1491,                0.69167,                0.92202,                 2.8248,              0.0056157,              0.0056157,              0.0056157
